Entity Name,Ticker Symbol,CUSIP
Allient Inc.,ALNT,019330109,2414717
Cadiz Inc.,CDZI,127537207,2238661
Thryv Holdings Inc.,THRY,886029206,BMCMWY5
Healthpeak Properties Inc.,DOC,42250P103,BJBLRK3
Ingersoll Rand Inc.,IR,45687V106,BL5GZ82
Home Depot Inc.,HD,437076102,2434209
Uniti Group Inc.,UNIT,91325V108,BD6VBR1
American Axle & Manufacturing Holdings Inc.,AXL,024061103,2382416
Greif Inc. Class A,GEF,397624107,2388016
Southern Missouri Bancorp Inc.,SMBC,843380106,2570501
Eaton Corp. plc,ETN,G29183103,B8KQN82
Enovix Corp.,ENVX,293594107,BNNTCT7
Ameren Corp.,AEE,023608102,2050832
Genelux Corp.,GNLX,36870H103,BPTH5D4
Redfin Corp.,RDFN,75737F108,BF1BDQ3
OPKO Health Inc.,OPK,68375N103,2115902
MGIC Investment Corp.,MTG,552848103,2548616
NVIDIA Corp.,NVDA,67066G104,2379504
United States Antimony Corp.,UAMY,911549103,2910668
Fifth Third Bancorp,FITB,316773100,2336747
Liberty Media Corp-Liberty Live,LLYVA,531229748,BPLYVQ8
Datadog Inc. Class A,DDOG,23804L103,BKT9Y49
Verra Mobility Corp. Class A,VRRM,92511U102,BFXX5X8
Spectrum Brands Holdings Inc,SPB,84790A105,BDRYFB1
Goldman Sachs Group Inc.,GS,38141G104,2407966
Strattec Security Corp.,STRT,863111100,2848714
PayPal Holdings Inc.,PYPL,70450Y103,BYW36M8
Hope Bancorp Inc.,HOPE,43940T109,BYN87K7
Lexeo Therapeutics Inc.,LXEO,52886X107,BQ6C357
Direct Digital Holdings Inc. Class A,DRCT,25461T105,BNW2DH2
Meridianlink Inc.,MLNK,58985J105,BMV7CG3
JBG SMITH Properties,JBGS,46590V100,BD3BX01
Andersons Inc.,ANDE,034164103,2274922
Local Bounti Corp.,LOCL,53960E205,BRBKJM2
Credo Technology Group Holding Ltd.,CRDO,G25457105,BLD13F2
MP Materials Corp.,MP,553368101,BN15Y35
NETSTREIT Corp.,NTST,64119V303,BMFLYL0
Franklin Electric Co. Inc.,FELE,353514102,2350383
Oppenheimer Holdings Inc. Class A,OPY,683797104,B42G8D2
Target Corp.,TGT,87612E106,2259101
Laureate Education Inc. Class A,LAUR,518613203,BYMYT66
Orange County Bancorp Inc.,OBT,68417L107,B02VKG6
Avanos Medical Inc.,AVNS,05350V106,BFFVV54
Rocky Brands Inc.,RCKY,774515100,2746915
Regional Management Corp.,RM,75902K106,B719DK5
Mama's Creations Inc.,MAMA,56146T103,B8X64T7
Karyopharm Therapeutics Inc.,KPTI,48576U205,BMHF2H2
Spirit AeroSystems Holdings Inc. Class A,SPR,848574109,B1HMMS7
Waystar Holding Corp.,WAY,946784105,BSWYNW8
Organon & Co.,OGN,68622V106,BLDC8J4
Selectquote Inc.,SLQT,816307300,BMFYH21
Parsons Corp.,PSN,70202L102,BJN4N02
Corsair Gaming Inc.,CRSR,22041X102,BMGWSJ8
American Healthcare REIT Inc.,AHR,398182303,BQWNKQ4
Rapid7 Inc.,RPD,753422104,BZ22CY6
Repligen Corp.,RGEN,759916109,2731654
HomeTrust Bancshares Inc.,HTB,437872104,B84T2F7
Guess? Inc.,GES,401617105,2387109
Powell Industries Inc.,POWL,739128106,2697422
ImmuCell Corp.,ICCC,452525306,2457994
Triumph Group Inc.,TGI,896818101,2893071
Acadia Realty Trust,AKR,004239109,2566522
Bayfirst Financial Corp.,BAFN,07279B104,BMCGGS9
Union Bankshares Inc./Morrisville VT,UNB,905400107,2031923
AbbVie Inc.,ABBV,00287Y109,B92SR70
Ford Motor Co.,F,345370860,2615468
Hormel Foods Corp.,HRL,440452100,2437264
PepsiCo Inc.,PEP,713448108,2681511
Republic Services Inc. Class A,RSG,760759100,2262530
York Water Co.,YORW,987184108,2425292
Cava Group Inc.,CAVA,148929102,BRBD9F4
Kaiser Aluminum Corp.,KALU,483007704,B15CJ33
Glimpse Group Inc.,VRAR,37892C106,BP0RLM4
Figs Inc. Class A,FIGS,30260D103,BMXXBD9
Daily Journal Corp.,DJCO,233912104,2251583
Independent Bank Corp./MI,IBCP,453838609,2492133
Idaho Strategic Resources Inc.,IDR,645827205,BMB5CZ6
Precision Optics Corp. Inc./Mass,POCI,740294400,BQVW415
Opus Genetics Inc.,IRD,67577R102,BKPSQY4
Cadiz Inc.,CDZI,127537207,2238661
Jones Lang LaSalle Inc.,JLL,48020Q107,2040640
New York REIT Liquidating LLC,,64ESC1997,
United Airlines Holdings Inc.,UAL,910047109,B4QG225
TOMI Environmental Solutions Inc.,TOMZ,890023203,BL55TS7
National Vision Holdings Inc.,EYE,63845R107,BYP71H7
Enovis Corp.,ENOV,194014502,BJLTMX5
ProKidney Corp. Class A,PROK,G7S53R104,BND9KF9
CoreCard Corp.,CCRD,45816D100,2453419
Cherry Hill Mortgage Investment Corp.,CHMI,164651101,BF8H8T2
First Community Corp./SC,FCCO,319835104,2863074
Arbor Realty Trust Inc.,ABR,038923108,B00N2S0
LGI Homes Inc.,LGIH,50187T106,BG3G1B4
Light & Wonder Inc.,LNW,80874P109,2919290
Kilroy Realty Corp.,KRC,49427F108,2495529
City Holding Co.,CHCO,177835105,2161778
Distribution Solutions Group Inc.,DSGR,520776105,2508126
Honest Co. Inc.,HNST,438333106,BMF1LH5
EPR Properties,EPR,26884U109,B8XXZP1
Maravai LifeSciences Holdings Inc. Class A,MRVI,56600D107,BMCWKZ2
WEX Inc.,WEX,96208T104,B8383P2